Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes
Tonk Road,Coffee America,"Shop 38, Near Ayojan School Of Architecture, Riicco Industrial Area Sitapura, Jaipur",[],₹250,"['Fast Food', 'Rolls', 'South Indian', 'Beverages']",3.3,18
Tonk Road,Jai Shri Balaji Refreshment & Juice Point,"111-CS-1, Shiv Tower, Near Community Hall, Kumbha Marg, Sector 11, Pratap Nagar, Tonk Road, Jaipur",['Beverage Shop'],₹100,['Beverages'],NEW,21
Tonk Road,Singh Punjabi Dhaba,"Shop 12 & 13, Mahaveer Colony, Toll Tax, Sitapura, Tonk Road, Jaipur",['Quick Bites'],₹500,"['North Indian', 'Mughlai']",2.5,11
Tonk Road,Samiksha Food Point,"Plot 233, Ground Floor, Muktanand Nagar, Tonk Road, Jaipur",['Quick Bites'],₹250,['North Indian'],2.9,12
Tonk Road,Happy Thalis,"64B, Sunny Nagar, Khumba Marg, Sanger, Partap Nagar, Sector 11, Tonk Road, Jaipur",[],₹400,['North Indian'],2.7,No-Votes
Tonk Road,Hotel Shree Niwas Veg Restaurant,"Opposite India Overseas School, Sheopur Road, Pratap Nager, Tonk Road, Jaipur",[],₹300,"['North Indian', 'Chinese']",3.3,10
Tonk Road,Al-Lazeez Chicken,"Shop 4 Plot 56 Shree Nath Colony, Opposite Airport, Tonk Road, Jaipur",['Quick Bites'],₹150,"['North Indian', 'Fast Food']",3.2,12
Tonk Road,Vinnie's Food Court,"Plot 1-2, Vishnu Garden, Near Sanganer Flyover, Tonk Road, Jaipur",['Casual Dining'],₹750,"['Chinese', 'North Indian', 'Street Food', 'Fast Food', 'South Indian']",3.2,10
Tonk Road,Ravi Fast Food Centre,"Plot 1, Dayanand Colony, Mansingh Pura, Tonk Road, Jaipur",['Quick Bites'],₹100,"['Fast Food', 'Street Food']",3.2,15
Tonk Road,Jaipur King Restaurant,"Sec-19, Opposite VSPK School, Near Narayana Hospital, Pratap Nagar, Tonk Road, Jaipur",['Quick Bites'],₹300,"['North Indian', 'Chinese', 'Fast Food']",3.2,17
Tonk Road,Special Dhaba,"S37, 38, Dwarkapuri, Chak Getor, Pratap Nagar, Tonk Road, Jaipur",[],₹500,"['North Indian', 'Fast Food']",2.8,11
Tonk Road,Punjabi Kesar King,"12 A, Nand Colony, Tulsi Nagar, Tonk Road, Jaipur",['Quick Bites'],₹500,['North Indian'],3.3,13
Tonk Road,Dessert Drama,"K-44, Income Tax Colony, Lal Bahadur Nagar, Tonk Road, Jaipur",['Dessert Parlor'],₹300,"['Desserts', 'Ice Cream']",3.1,10
Tonk Road,Airport Cafe,"Plot 56, Shree Nath Colony, Airport Road, Sanganer, Tonk Road, Jaipur",['Quick Bites'],₹300,"['North Indian', 'Fast Food']",3.2,12
Tonk Road,Dhaba Express,"Shop 60/61, Vivek Vihar, Kumbha Marg, Sanganer, Tonk Road, Jaipur",['Quick Bites'],₹500,['North Indian'],3.3,15
Tonk Road,Khandelwal Dal Bati,"Plot-4, Chitrakoot Colony, Khokabas, Sanganer, Tonk Road, Jaipur",['Quick Bites'],₹300,['North Indian'],3.2,15
Tonk Road,Mithlesh Sweets,"Opposite Central Bank of India, Gopalpura, Tonk Road, Jaipur",['Sweet Shop'],₹300,['Mithai'],3.1,20
Tonk Road,RK Govindam Restaurant,"Near Kumbha Marg, Sector 8, Pratap Nagar, Tonk Road, Jaipur",[],₹400,"['North Indian', 'Chinese']",3.2,18
Tonk Road,Patata Farm,"Shop 10, Dev Nagar, Opposite Kamal & Company, Tonk Road, Jaipur",['Quick Bites'],₹450,"['Fast Food', 'Chinese', 'Beverages']",3.2,10
Tonk Road,Home Meals,"99, Sudama Nagar, Near Taru Chaya Nagar, Tonk Road, Jaipur",['Quick Bites'],₹300,"['North Indian', 'Fast Food']",3.3,16
Tonk Road,Muskan's Bake World,"S 24, Gayatri Nagar A, Maharani Farm, Durgapura, Tonk Road, Jaipur","['Bakery', 'Quick Bites']",₹500,"['Bakery', 'Fast Food', 'Desserts', 'Beverages']",3.2,10
Tonk Road,Shahi Paan,"Shop G-1, Plot -304, Mahaveer Nagar II, Dalda Factory Road, Durgapura, Jaipur",['Paan Shop'],₹100,"['Fast Food', 'Paan']",3.2,18
Tonk Road,Amit Juice Center,"Barkat Nagar Road, Telephone Colony, Bank Colony, Tonk Road, Jaipur",['Beverage Shop'],₹150,['Beverages'],3.1,15
Tonk Road,Utsav Pure Veg Restaurant,"8, Jadoun Nagar, Opposite To Railway Station, Mahaveer Nagar Tonk Road, Jaipur",['Quick Bites'],₹400,['North Indian'],3.1,13
Tonk Road,Praaji Veg & Non Veg Restaurant,"23/24, Sitapura, India Gate, Tonk Road, Jaipur",['Quick Bites'],₹350,"['North Indian', 'Fast Food']",3.3,14
Tonk Road,Aarogosa Restaurant,"Chokhi Dhani Resort, 12 Mile, Tonk Road, Jaipur",['Fine Dining'],"₹1,600",['North Indian'],3.2,7
Tonk Road,Tetra Cafe,"S4 A, RIICO Area, Sitapura, Near Mahatama Gandhi Hospital, Tonk Road, Jaipur",['Quick Bites'],₹250,"['North Indian', 'Chinese', 'Fast Food']",3.2,8
Tonk Road,Cake Free,"Chandrakala Colony, Tonk Road, Jaipur",[],₹300,"['Bakery', 'Desserts']",3.2,7
Tonk Road,Dhola Maru Non Veg,"136 A, Avadhpuri-2, Near Mahesh Nagar Phatak, Tonk Road, Jaipur",['Quick Bites'],₹400,['North Indian'],3.2,13
Tonk Road,Choupal Restaurant,"Chokhi Dhani Village Resort, 12 Mile, Tonk Road, Jaipur",['Casual Dining'],"₹1,200","['North Indian', 'Rajasthani']",3.0,8
Tonk Road,H R Veg Kitchen,"22, Radaha Vihar, Sheopur Road, Pratap Nagar, Tonk Road, Jaipur",['Quick Bites'],₹150,"['North Indian', 'South Indian', 'Fast Food', 'Beverages']",3.1,12
Tonk Road,Ambarsariya Da Dhaba,"Badi ka Bas, Near Goner Phatak, Sitapur, Tonk Road, Jaipur",['Quick Bites'],₹350,['North Indian'],3.2,17
Tonk Road,Khana Khajana Restaurant,"S6/5, JDA Staff Colony, Haldighati Road, Pratap Nagar, Sanganer, Tonk Road, Jaipur",[],₹300,"['North Indian', 'Chinese']",3.0,11
